customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,No,No,67,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),83.39,5395.52,No
CUST-00002,Female,1,No,No,25,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,95.46,2322.49,No
CUST-00003,Male,0,No,No,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,27.38,1609.59,Yes
CUST-00004,Male,0,Yes,No,26,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,102.85,2392.54,Yes
CUST-00005,Male,0,Yes,No,34,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),46.83,1431.41,Yes
CUST-00006,Female,1,Yes,No,9,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),56.93,467.07,No
CUST-00007,Male,0,Yes,Yes,40,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),46.21,1628.72,No
CUST-00008,Male,0,Yes,No,7,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,102.34,670.89,Yes
CUST-00009,Male,0,Yes,No,30,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,106.72,3172.43,No
CUST-00010,Female,0,Yes,Yes,66,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),32.33,2156.66,No
CUST-00011,Male,0,Yes,Yes,30,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,71.25,1826.74,No
CUST-00012,Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),56.94,3326.22,No
CUST-00013,Male,0,No,No,58,No,No phone service,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),36.56,2067.04,No
CUST-00014,Male,0,No,Yes,55,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),74.78,3872.49,No
CUST-00015,Female,0,Yes,No,14,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),55.29,711.21,No
CUST-00016,Male,0,Yes,No,37,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,90.99,3386.88,No
CUST-00017,Female,0,Yes,Yes,44,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),103.3,4310.01,No
CUST-00018,Female,0,No,Yes,6,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),19.38,112.52,No
CUST-00019,Female,1,Yes,No,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,73.86,1761.45,Yes
CUST-00020,Male,0,No,No,14,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),77.25,983.56,No
CUST-00021,Female,1,Yes,No,8,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),50.45,419.64,Yes
CUST-00022,Male,0,Yes,No,24,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.88,2372.55,No
CUST-00023,Female,0,Yes,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),110.78,3957.84,Yes
CUST-00024,Female,1,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,95.95,4935.68,No
CUST-00025,Female,0,No,No,63,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),71.79,3893.19,No
CUST-00026,Female,0,No,No,26,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),19.14,465.77,No
CUST-00027,Female,0,No,No,10,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,61.03,638.51,No
CUST-00028,Female,0,No,Yes,58,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,88.76,5302.28,Yes
CUST-00029,Female,0,No,No,14,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,34.26,451.21,No
CUST-00030,Female,0,No,Yes,71,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),97.13,6846.48,No
CUST-00031,Male,0,Yes,Yes,39,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.58,2903.94,No
CUST-00032,Male,0,Yes,No,31,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,51.83,1519.75,No
CUST-00033,Female,0,Yes,Yes,50,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.55,5118.5,No
CUST-00034,Female,0,No,No,16,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,83.6,1236.99,No
CUST-00035,Female,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),48.95,3541.99,No
CUST-00036,Male,0,No,Yes,51,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),38.12,1787.76,No
CUST-00037,Female,1,Yes,No,15,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),34.01,454.6,No
CUST-00038,Male,0,No,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,118.64,4061.22,No
CUST-00039,Male,1,Yes,Yes,71,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,106.63,7803.5,No
CUST-00040,Male,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,88.19,6355.22,No
CUST-00041,Male,0,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),66.0,1427.25,No
CUST-00042,Male,0,Yes,Yes,16,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Mailed check,104.51,1732.43,No
CUST-00043,Female,0,No,No,67,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,89.73,5124.43,No
CUST-00044,Female,0,Yes,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),74.84,4322.35,No
CUST-00045,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),97.55,1177.26,Yes
CUST-00046,Female,0,No,Yes,64,Yes,No,DSL,No,No,No,No,No,No,One year,No,Mailed check,30.16,1721.38,No
